ArXiv Id,Ground Truth ROR IDs,Extracted ROR IDs,Missing ROR IDs,Extra ROR IDs
2201.00275v1,"{'https://ror.org/02y3ad647', 'https://ror.org/05sqd3t97'}",{'https://ror.org/02y3ad647'},{'https://ror.org/05sqd3t97'},set()
2201.00276v1,"{'https://ror.org/01mkqqe32', 'https://ror.org/03cve4549', 'https://ror.org/034t30j35', 'https://ror.org/03x8rhq63', 'https://ror.org/015h0qg34'}","{'https://ror.org/01mkqqe32', 'https://ror.org/03cve4549', 'https://ror.org/034t30j35'}","{'https://ror.org/015h0qg34', 'https://ror.org/03x8rhq63'}",set()
2201.00277v1,{'https://ror.org/0384j8v12'},"{'https://ror.org/0384j8v12', 'https://ror.org/00zecds36'}",set(),{'https://ror.org/00zecds36'}
2201.00278v2,"{'https://ror.org/00z54nq84', 'https://ror.org/03fd77x13', 'https://ror.org/02e2c7k09', 'https://ror.org/00s19x989', 'https://ror.org/01ggtn466', 'https://ror.org/02c2kyt77', 'https://ror.org/02en5vm52', 'https://ror.org/00pjdza24', 'https://ror.org/013cjyk83', 'https://ror.org/00rydyx93', 'https://ror.org/05f82e368', 'https://ror.org/02feahw73', 'https://ror.org/04kdfz702', 'https://ror.org/01an7q238', 'https://ror.org/03rxtdc22'}","{'https://ror.org/02c2kyt77', 'https://ror.org/00pjdza24', 'https://ror.org/02feahw73', 'https://ror.org/01an7q238'}","{'https://ror.org/00z54nq84', 'https://ror.org/03fd77x13', 'https://ror.org/02e2c7k09', 'https://ror.org/00s19x989', 'https://ror.org/01ggtn466', 'https://ror.org/02en5vm52', 'https://ror.org/013cjyk83', 'https://ror.org/00rydyx93', 'https://ror.org/05f82e368', 'https://ror.org/04kdfz702', 'https://ror.org/03rxtdc22'}",set()
2201.00279v2,{'https://ror.org/0207yh398'},"{'https://ror.org/01vbgty78', 'https://ror.org/0207yh398'}",set(),{'https://ror.org/01vbgty78'}
2201.00280v1,"{'https://ror.org/05p8z3f47', 'https://ror.org/02zdkmf61', 'https://ror.org/02zhqgq86', 'https://ror.org/0566a8c54', 'https://ror.org/049pfb863'}","{'https://ror.org/04tj63d06', 'https://ror.org/00t33hh48', 'https://ror.org/02zhqgq86', 'https://ror.org/02dqehb95', 'https://ror.org/0257kt353'}","{'https://ror.org/049pfb863', 'https://ror.org/0566a8c54', 'https://ror.org/05p8z3f47', 'https://ror.org/02zdkmf61'}","{'https://ror.org/00t33hh48', 'https://ror.org/04tj63d06', 'https://ror.org/0257kt353', 'https://ror.org/02dqehb95'}"
2201.00281v1,"{'https://ror.org/04twxam07', 'https://ror.org/03qbxj466', 'https://ror.org/04p491231'}","{'https://ror.org/04twxam07', 'https://ror.org/04qbta562', 'https://ror.org/04wbsq162', 'https://ror.org/04p491231'}",{'https://ror.org/03qbxj466'},"{'https://ror.org/04qbta562', 'https://ror.org/04wbsq162'}"
2201.00282v1,{'https://ror.org/05vss7635'},{'https://ror.org/00hx57361'},{'https://ror.org/05vss7635'},{'https://ror.org/00hx57361'}
2201.00283v1,"{'https://ror.org/0420zvk78', 'https://ror.org/05fq50484'}",set(),"{'https://ror.org/0420zvk78', 'https://ror.org/05fq50484'}",set()
2201.00284v1,"{'https://ror.org/05sbt2524', 'https://ror.org/02rx3b187', 'https://ror.org/02feahw73', 'https://ror.org/04b0z7q78', 'https://ror.org/04z22qz54', 'https://ror.org/02wrme198'}",{'https://ror.org/052gg0110'},"{'https://ror.org/05sbt2524', 'https://ror.org/02rx3b187', 'https://ror.org/02feahw73', 'https://ror.org/04b0z7q78', 'https://ror.org/04z22qz54', 'https://ror.org/02wrme198'}",{'https://ror.org/052gg0110'}
2201.00285v2,"{'https://ror.org/03vek6s52', 'https://ror.org/042nb2s44'}",{'https://ror.org/05nxk6n24'},"{'https://ror.org/03vek6s52', 'https://ror.org/042nb2s44'}",{'https://ror.org/05nxk6n24'}
2201.00286v1,{'https://ror.org/05j873a45'},set(),{'https://ror.org/05j873a45'},set()
2201.00288v3,"{'https://ror.org/01skt4w74', 'https://ror.org/02zhqgq86'}","{'https://ror.org/00t33hh48', 'https://ror.org/01skt4w74', 'https://ror.org/02zhqgq86'}",set(),{'https://ror.org/00t33hh48'}
2201.00289v1,"{'https://ror.org/05a28rw58', 'https://ror.org/037p86664', 'https://ror.org/00mmn6b08', 'https://ror.org/01rvn4p91', 'https://ror.org/059m1v232', 'https://ror.org/05bnh6r87', 'https://ror.org/03qbxj466', 'https://ror.org/01bj3aw27', 'https://ror.org/02jbv0t02', 'https://ror.org/00pjdza24', 'https://ror.org/04p491231', 'https://ror.org/00hj54h04', 'https://ror.org/01n6r0e97', 'https://ror.org/01an7q238'}","{'https://ror.org/05a28rw58', 'https://ror.org/05bnh6r87', 'https://ror.org/04p491231', 'https://ror.org/02jbv0t02', 'https://ror.org/00pjdza24', 'https://ror.org/01an7q238'}","{'https://ror.org/037p86664', 'https://ror.org/00mmn6b08', 'https://ror.org/059m1v232', 'https://ror.org/01rvn4p91', 'https://ror.org/03qbxj466', 'https://ror.org/01bj3aw27', 'https://ror.org/00hj54h04', 'https://ror.org/01n6r0e97'}",set()
2201.00293v2,{'https://ror.org/037s24f05'},"{'https://ror.org/01y0j0j86', 'https://ror.org/037s24f05'}",set(),{'https://ror.org/01y0j0j86'}
2201.00294v1,"{'https://ror.org/02djqfd08', 'https://ror.org/004rbbw49', 'https://ror.org/020vtf184', 'https://ror.org/04xnqep60'}","{'https://ror.org/00a2xv884', 'https://ror.org/020vtf184', 'https://ror.org/004rbbw49'}","{'https://ror.org/02djqfd08', 'https://ror.org/04xnqep60'}",{'https://ror.org/00a2xv884'}
2201.00295v2,"{'https://ror.org/022tv9y30', 'https://ror.org/044g6d731', 'https://ror.org/03ht1xw27', 'https://ror.org/04a7rxb17'}","{'https://ror.org/00wdyp114', 'https://ror.org/044g6d731', 'https://ror.org/04a7rxb17'}","{'https://ror.org/022tv9y30', 'https://ror.org/03ht1xw27'}",{'https://ror.org/00wdyp114'}
2201.00297v1,"{'https://ror.org/049pfb863', 'https://ror.org/0566a8c54'}",{'https://ror.org/04tj63d06'},"{'https://ror.org/049pfb863', 'https://ror.org/0566a8c54'}",{'https://ror.org/04tj63d06'}
2201.00298v1,"{'https://ror.org/02c9qn167', 'https://ror.org/0530pts50'}","{'https://ror.org/03y6m2j03', 'https://ror.org/02c9qn167', 'https://ror.org/0530pts50'}",set(),{'https://ror.org/03y6m2j03'}
2201.00299v3,"{'https://ror.org/041pakw92', 'https://ror.org/0168r3w48', 'https://ror.org/00pjdza24', 'https://ror.org/00f54p054'}",set(),"{'https://ror.org/041pakw92', 'https://ror.org/0168r3w48', 'https://ror.org/00pjdza24', 'https://ror.org/00f54p054'}",set()
2201.00302v2,"{'https://ror.org/05qbk4x57', 'https://ror.org/034t30j35'}","{'https://ror.org/02jkmyk67', 'https://ror.org/05qbk4x57', 'https://ror.org/034t30j35'}",set(),{'https://ror.org/02jkmyk67'}
2201.00304v1,"{'https://ror.org/00rqy9422', 'https://ror.org/01rxvg760', 'https://ror.org/02zhqgq86'}","{'https://ror.org/00rqy9422', 'https://ror.org/01rxvg760'}",{'https://ror.org/02zhqgq86'},set()
2201.00307v1,"{'https://ror.org/05qrfxd25', 'https://ror.org/012q2tk82', 'https://ror.org/02frkq021', 'https://ror.org/04sjbnx57', 'https://ror.org/037d0vf92'}","{'https://ror.org/05qrfxd25', 'https://ror.org/02frkq021', 'https://ror.org/04sjbnx57', 'https://ror.org/037d0vf92', 'https://ror.org/05fe7ax82'}",{'https://ror.org/012q2tk82'},{'https://ror.org/05fe7ax82'}
2201.00308v3,"{'https://ror.org/00pjdza24', 'https://ror.org/05pjsgx75', 'https://ror.org/04gyf1771', 'https://ror.org/030sjb889', 'https://ror.org/05qzgry88'}","{'https://ror.org/04gyf1771', 'https://ror.org/00pjdza24', 'https://ror.org/05pjsgx75'}","{'https://ror.org/030sjb889', 'https://ror.org/05qzgry88'}",set()
2201.00309v1,"{'https://ror.org/00d0nc645', 'https://ror.org/00pjdza24', 'https://ror.org/04gyf1771', 'https://ror.org/013q1eq08'}",{'https://ror.org/013q1eq08'},"{'https://ror.org/00d0nc645', 'https://ror.org/04gyf1771', 'https://ror.org/00pjdza24'}",set()
2201.00313v2,"{'https://ror.org/03grvy078', 'https://ror.org/017zqws13'}",{'https://ror.org/017zqws13'},{'https://ror.org/03grvy078'},set()
2201.00316v1,"{'https://ror.org/00a2xv884', 'https://ror.org/05qrfxd25', 'https://ror.org/03jty3219', 'https://ror.org/02wnaj108', 'https://ror.org/050rg6t21'}","{'https://ror.org/00a2xv884', 'https://ror.org/05qrfxd25', 'https://ror.org/050rg6t21', 'https://ror.org/04gr31p94'}","{'https://ror.org/03jty3219', 'https://ror.org/02wnaj108'}",{'https://ror.org/04gr31p94'}
2201.00317v2,"{'https://ror.org/012tb2g32', 'https://ror.org/01vy4gh70'}","{'https://ror.org/03v61g875', 'https://ror.org/052cyyv97', 'https://ror.org/01vy4gh70'}",{'https://ror.org/012tb2g32'},"{'https://ror.org/03v61g875', 'https://ror.org/052cyyv97'}"
2201.00318v2,"{'https://ror.org/030sjb889', 'https://ror.org/03v0r5n49'}",{'https://ror.org/03v0r5n49'},{'https://ror.org/030sjb889'},set()
2201.00320v2,"{'https://ror.org/01v7y5b55', 'https://ror.org/025h79t26'}","{'https://ror.org/02a61j498', 'https://ror.org/01v7y5b55', 'https://ror.org/025h79t26'}",set(),{'https://ror.org/02a61j498'}
2201.00321v1,"{'https://ror.org/04xaa4j22', 'https://ror.org/015m7wh34', 'https://ror.org/050jcm728', 'https://ror.org/050jn9y42', 'https://ror.org/05y76vp22', 'https://ror.org/01m84wm78', 'https://ror.org/013q1eq08', 'https://ror.org/02feahw73', 'https://ror.org/0030zas98'}","{'https://ror.org/013q1eq08', 'https://ror.org/02f0psx94', 'https://ror.org/02feahw73', 'https://ror.org/0030zas98'}","{'https://ror.org/04xaa4j22', 'https://ror.org/015m7wh34', 'https://ror.org/050jcm728', 'https://ror.org/050jn9y42', 'https://ror.org/05y76vp22', 'https://ror.org/01m84wm78'}",{'https://ror.org/02f0psx94'}
2201.00322v1,"{'https://ror.org/05qbk4x57', 'https://ror.org/034t30j35'}",{'https://ror.org/034t30j35'},{'https://ror.org/05qbk4x57'},set()
2201.00324v1,"{'https://ror.org/01ej9dk98', 'https://ror.org/02vcqg248'}",{'https://ror.org/013meh722'},"{'https://ror.org/01ej9dk98', 'https://ror.org/02vcqg248'}",{'https://ror.org/013meh722'}
2201.00327v2,"{'https://ror.org/00yae6e25', 'https://ror.org/000xsnr85', 'https://ror.org/01dr6c206', 'https://ror.org/01cc3fy72', 'https://ror.org/03b21sh32', 'https://ror.org/017fyx225'}","{'https://ror.org/02zftm050', 'https://ror.org/01dr6c206', 'https://ror.org/03b21sh32', 'https://ror.org/013meh722'}","{'https://ror.org/017fyx225', 'https://ror.org/01cc3fy72', 'https://ror.org/00yae6e25', 'https://ror.org/000xsnr85'}","{'https://ror.org/02zftm050', 'https://ror.org/013meh722'}"
2201.00329v1,{'https://ror.org/00f7hpc57'},set(),{'https://ror.org/00f7hpc57'},set()
2201.00330v1,"{'https://ror.org/05591te55', 'https://ror.org/00cvxb145', 'https://ror.org/01r7awg59', 'https://ror.org/03rp50x72', 'https://ror.org/04w3d2v20', 'https://ror.org/04raf6v53', 'https://ror.org/021nxhr62', 'https://ror.org/05hs6h993', 'https://ror.org/05bk57929', 'https://ror.org/00h2vm590', 'https://ror.org/02kkvpp62', 'https://ror.org/002kje223'}","{'https://ror.org/00cvxb145', 'https://ror.org/01r7awg59', 'https://ror.org/03rp50x72', 'https://ror.org/04raf6v53', 'https://ror.org/05hs6h993', 'https://ror.org/01xhcza12', 'https://ror.org/05bk57929', 'https://ror.org/00h2vm590', 'https://ror.org/00qerpb33'}","{'https://ror.org/05591te55', 'https://ror.org/04w3d2v20', 'https://ror.org/021nxhr62', 'https://ror.org/02kkvpp62', 'https://ror.org/002kje223'}","{'https://ror.org/00qerpb33', 'https://ror.org/01xhcza12'}"
2201.00337v1,{'https://ror.org/038avdt50'},set(),{'https://ror.org/038avdt50'},set()
2201.00338v2,{'https://ror.org/054pv6659'},"{'https://ror.org/038wdy960', 'https://ror.org/037tm7f56'}",{'https://ror.org/054pv6659'},"{'https://ror.org/038wdy960', 'https://ror.org/037tm7f56'}"
2201.00339v1,{'https://ror.org/026k5mg93'},{'https://ror.org/01e0ns064'},{'https://ror.org/026k5mg93'},{'https://ror.org/01e0ns064'}
2201.00340v1,"{'https://ror.org/03grvy078', 'https://ror.org/001g2fj96', 'https://ror.org/017zqws13'}","{'https://ror.org/00engpz63', 'https://ror.org/052w4zt36', 'https://ror.org/017zqws13'}","{'https://ror.org/03grvy078', 'https://ror.org/001g2fj96'}","{'https://ror.org/00engpz63', 'https://ror.org/052w4zt36'}"
2201.00341v1,"{'https://ror.org/05fd1hd85', 'https://ror.org/03x0c7470', 'https://ror.org/0281dp749', 'https://ror.org/02nv7yv05'}","{'https://ror.org/05fd1hd85', 'https://ror.org/04kfyt897'}","{'https://ror.org/02nv7yv05', 'https://ror.org/0281dp749', 'https://ror.org/03x0c7470'}",{'https://ror.org/04kfyt897'}
2201.00343v1,"{'https://ror.org/029brtt94', 'https://ror.org/050jn9y42', 'https://ror.org/00s19x989', 'https://ror.org/00x27da85', 'https://ror.org/01rk35k63', 'https://ror.org/04y8cs423', 'https://ror.org/05s6rge65', 'https://ror.org/02be6w209', 'https://ror.org/05sbt2524', 'https://ror.org/013cjyk83', 'https://ror.org/02rx3b187', 'https://ror.org/02feahw73', 'https://ror.org/04b0z7q78', 'https://ror.org/01q76b368', 'https://ror.org/048289s82', 'https://ror.org/04z22qz54', 'https://ror.org/02wrme198'}","{'https://ror.org/02feahw73', 'https://ror.org/02be6w209', 'https://ror.org/05sbt2524'}","{'https://ror.org/050jn9y42', 'https://ror.org/00s19x989', 'https://ror.org/00x27da85', 'https://ror.org/04y8cs423', 'https://ror.org/05s6rge65', 'https://ror.org/013cjyk83', 'https://ror.org/01rk35k63', 'https://ror.org/01q76b368', 'https://ror.org/029brtt94', 'https://ror.org/02rx3b187', 'https://ror.org/04b0z7q78', 'https://ror.org/048289s82', 'https://ror.org/04z22qz54', 'https://ror.org/02wrme198'}",set()
2201.00344v2,"{'https://ror.org/00hn7w693', 'https://ror.org/05tkyf982'}",{'https://ror.org/05tkyf982'},{'https://ror.org/00hn7w693'},set()
2201.00345v2,"{'https://ror.org/05f0yaq80', 'https://ror.org/0561a3s31'}",set(),"{'https://ror.org/05f0yaq80', 'https://ror.org/0561a3s31'}",set()
2201.00346v1,"{'https://ror.org/05a28rw58', 'https://ror.org/01rvn4p91', 'https://ror.org/01skt4w74'}","{'https://ror.org/05a28rw58', 'https://ror.org/02eb0rk31', 'https://ror.org/01skt4w74'}",{'https://ror.org/01rvn4p91'},{'https://ror.org/02eb0rk31'}
2201.00347v1,"{'https://ror.org/05qrfxd25', 'https://ror.org/051qn8h41', 'https://ror.org/03ftejk10', 'https://ror.org/01dv3hq14'}","{'https://ror.org/04ynn1b95', 'https://ror.org/03t6cz096', 'https://ror.org/051qn8h41', 'https://ror.org/00h9jx107', 'https://ror.org/02gkgrd84'}","{'https://ror.org/01dv3hq14', 'https://ror.org/03ftejk10', 'https://ror.org/05qrfxd25'}","{'https://ror.org/04ynn1b95', 'https://ror.org/00h9jx107', 'https://ror.org/03t6cz096', 'https://ror.org/02gkgrd84'}"
2201.00348v6,"{'https://ror.org/00453a208', 'https://ror.org/041hz9568'}","{'https://ror.org/02nf34254', 'https://ror.org/00453a208'}",{'https://ror.org/041hz9568'},{'https://ror.org/02nf34254'}
2201.00349v1,"{'https://ror.org/01q1z8k08', 'https://ror.org/026zzn846', 'https://ror.org/04cw6st05', 'https://ror.org/05qghxh33'}","{'https://ror.org/026zzn846', 'https://ror.org/04cw6st05', 'https://ror.org/05qghxh33'}",{'https://ror.org/01q1z8k08'},set()
2201.00350v5,"{'https://ror.org/0433abe34', 'https://ror.org/04xreqs31'}",{'https://ror.org/04xreqs31'},{'https://ror.org/0433abe34'},set()
2201.00351v1,"{'https://ror.org/014te7048', 'https://ror.org/006m4q736', 'https://ror.org/03z9tma90', 'https://ror.org/054gw3b40'}","{'https://ror.org/014te7048', 'https://ror.org/006m4q736'}","{'https://ror.org/03z9tma90', 'https://ror.org/054gw3b40'}",set()
2201.00355v2,"{'https://ror.org/05hh8d621', 'https://ror.org/03kgsv495', 'https://ror.org/02hqwnx33'}","{'https://ror.org/008zs3103', 'https://ror.org/05nv34q75'}","{'https://ror.org/05hh8d621', 'https://ror.org/03kgsv495', 'https://ror.org/02hqwnx33'}","{'https://ror.org/008zs3103', 'https://ror.org/05nv34q75'}"
2201.00356v1,{'https://ror.org/041yk2d64'},"{'https://ror.org/041yk2d64', 'https://ror.org/02sghbs34'}",set(),{'https://ror.org/02sghbs34'}
2201.00357v8,{'https://ror.org/05t8y2r12'},{'https://ror.org/03wnrjx87'},{'https://ror.org/05t8y2r12'},{'https://ror.org/03wnrjx87'}
2201.00359v1,"{'https://ror.org/02pwsw017', 'https://ror.org/05gqaka33', 'https://ror.org/022wqqf69', 'https://ror.org/01hhn8329', 'https://ror.org/02gfc7t72', 'https://ror.org/000xsnr85', 'https://ror.org/01cc3fy72', 'https://ror.org/023ke8y90', 'https://ror.org/0095xwr23'}","{'https://ror.org/05gqaka33', 'https://ror.org/000xsnr85', 'https://ror.org/015dhy417', 'https://ror.org/0095xwr23'}","{'https://ror.org/02pwsw017', 'https://ror.org/022wqqf69', 'https://ror.org/01hhn8329', 'https://ror.org/02gfc7t72', 'https://ror.org/01cc3fy72', 'https://ror.org/023ke8y90'}",{'https://ror.org/015dhy417'}
2201.00360v2,"{'https://ror.org/048dd0611', 'https://ror.org/024mw5h28', 'https://ror.org/034t30j35'}","{'https://ror.org/048dd0611', 'https://ror.org/034t30j35', 'https://ror.org/024mw5h28', 'https://ror.org/016skwe97'}",set(),{'https://ror.org/016skwe97'}
2201.00361v1,"{'https://ror.org/00gtcbp88', 'https://ror.org/04xhy8q59', 'https://ror.org/04jx68594', 'https://ror.org/02feahw73', 'https://ror.org/00jmfr291'}","{'https://ror.org/02feahw73', 'https://ror.org/00jmfr291', 'https://ror.org/05vjdsn22'}","{'https://ror.org/04xhy8q59', 'https://ror.org/04jx68594', 'https://ror.org/00gtcbp88'}",{'https://ror.org/05vjdsn22'}
2201.00363v1,{'https://ror.org/036rp1748'},"{'https://ror.org/019sw1443', 'https://ror.org/013meh722'}",{'https://ror.org/036rp1748'},"{'https://ror.org/019sw1443', 'https://ror.org/013meh722'}"
2201.00364v1,"{'https://ror.org/030sjb889', 'https://ror.org/05r9r2f34'}",{'https://ror.org/05r9r2f34'},{'https://ror.org/030sjb889'},set()
2201.00367v1,{'https://ror.org/03h7r5v07'},"{'https://ror.org/013meh722', 'https://ror.org/01r1e1h27', 'https://ror.org/05k9pq902', 'https://ror.org/052gg0110'}",{'https://ror.org/03h7r5v07'},"{'https://ror.org/013meh722', 'https://ror.org/01r1e1h27', 'https://ror.org/05k9pq902', 'https://ror.org/052gg0110'}"
2201.00368v1,{'https://ror.org/013meh722'},{'https://ror.org/037tm7f56'},{'https://ror.org/013meh722'},{'https://ror.org/037tm7f56'}
2201.00369v4,"{'https://ror.org/01mv9t934', 'https://ror.org/01rxvg760'}","{'https://ror.org/04ynn1b95', 'https://ror.org/01rxvg760'}",{'https://ror.org/01mv9t934'},{'https://ror.org/04ynn1b95'}
2201.00371v1,"{'https://ror.org/00d0rke27', 'https://ror.org/00z54nq84', 'https://ror.org/00s19x989', 'https://ror.org/046hjmc37', 'https://ror.org/03xjwb503', 'https://ror.org/02feahw73'}","{'https://ror.org/046hjmc37', 'https://ror.org/00675rp98'}","{'https://ror.org/00d0rke27', 'https://ror.org/00z54nq84', 'https://ror.org/00s19x989', 'https://ror.org/03xjwb503', 'https://ror.org/02feahw73'}",{'https://ror.org/00675rp98'}
2201.00374v2,"{'https://ror.org/017fyx225', 'https://ror.org/01dr6c206', 'https://ror.org/00y0xnp53'}","{'https://ror.org/01dr6c206', 'https://ror.org/00y0xnp53', 'https://ror.org/0111cp837'}",{'https://ror.org/017fyx225'},{'https://ror.org/0111cp837'}
2201.00375v1,{'https://ror.org/027ynra39'},set(),{'https://ror.org/027ynra39'},set()
2201.00376v2,{'https://ror.org/04ct4d772'},set(),{'https://ror.org/04ct4d772'},set()
2201.00378v4,{'https://ror.org/03mb6wj31'},{'https://ror.org/05sd8tv96'},{'https://ror.org/03mb6wj31'},{'https://ror.org/05sd8tv96'}
2201.00380v1,"{'https://ror.org/03gzr6j88', 'https://ror.org/00965bg92'}",{'https://ror.org/00965bg92'},{'https://ror.org/03gzr6j88'},set()
2201.00381v1,"{'https://ror.org/05vt9qd57', 'https://ror.org/02s376052', 'https://ror.org/01rvn4p91', 'https://ror.org/02nwvxz07', 'https://ror.org/04cqj5759', 'https://ror.org/0268ecp52'}",{'https://ror.org/05vt9qd57'},"{'https://ror.org/02s376052', 'https://ror.org/01rvn4p91', 'https://ror.org/02nwvxz07', 'https://ror.org/04cqj5759', 'https://ror.org/0268ecp52'}",set()
2201.00382v3,"{'https://ror.org/05x2bcf33', 'https://ror.org/03e8s1d88', 'https://ror.org/02kw5st29', 'https://ror.org/03dbr7087'}","{'https://ror.org/02kw5st29', 'https://ror.org/03e8s1d88', 'https://ror.org/05x2bcf33'}",{'https://ror.org/03dbr7087'},set()
2201.00383v2,"{'https://ror.org/00za53h95', 'https://ror.org/02zhqgq86'}","{'https://ror.org/00za53h95', 'https://ror.org/00t33hh48', 'https://ror.org/02zhqgq86'}",set(),{'https://ror.org/00t33hh48'}
2201.00384v3,"{'https://ror.org/05a28rw58', 'https://ror.org/01rvn4p91', 'https://ror.org/02s6k3f65'}","{'https://ror.org/05a28rw58', 'https://ror.org/02s6k3f65'}",{'https://ror.org/01rvn4p91'},set()
2201.00385v2,"{'https://ror.org/01q1z8k08', 'https://ror.org/05qghxh33'}",{'https://ror.org/05qghxh33'},{'https://ror.org/01q1z8k08'},set()
2201.00387v2,"{'https://ror.org/03taz7m60', 'https://ror.org/000e0be47', 'https://ror.org/01an7q238', 'https://ror.org/00pjdza24'}","{'https://ror.org/03taz7m60', 'https://ror.org/01an7q238', 'https://ror.org/00pjdza24'}",{'https://ror.org/000e0be47'},set()
2201.00388v2,"{'https://ror.org/024c2fq17', 'https://ror.org/005ta0471', 'https://ror.org/05478fx36', 'https://ror.org/0005w8d69'}","{'https://ror.org/024c2fq17', 'https://ror.org/0005w8d69'}","{'https://ror.org/005ta0471', 'https://ror.org/05478fx36'}",set()
2201.00389v2,{'https://ror.org/0153tk833'},{'https://ror.org/013meh722'},{'https://ror.org/0153tk833'},{'https://ror.org/013meh722'}
2201.00390v1,"{'https://ror.org/03ad39j10', 'https://ror.org/005ta0471', 'https://ror.org/05symbg58'}",{'https://ror.org/013meh722'},"{'https://ror.org/03ad39j10', 'https://ror.org/005ta0471', 'https://ror.org/05symbg58'}",{'https://ror.org/013meh722'}
2201.00392v3,"{'https://ror.org/00hj54h04', 'https://ror.org/03qbxj466', 'https://ror.org/05qzgry88'}",{'https://ror.org/0268pvz05'},"{'https://ror.org/00hj54h04', 'https://ror.org/03qbxj466', 'https://ror.org/05qzgry88'}",{'https://ror.org/0268pvz05'}
2201.00393v4,"{'https://ror.org/012kqkf58', 'https://ror.org/01fe0jt45', 'https://ror.org/0161xgx34'}",set(),"{'https://ror.org/012kqkf58', 'https://ror.org/01fe0jt45', 'https://ror.org/0161xgx34'}",set()
2201.00394v1,"{'https://ror.org/0282m7c06', 'https://ror.org/02qsmb048'}",set(),"{'https://ror.org/0282m7c06', 'https://ror.org/02qsmb048'}",set()
2201.00397v2,{'https://ror.org/03qryx823'},{'https://ror.org/028ds0f65'},{'https://ror.org/03qryx823'},{'https://ror.org/028ds0f65'}
2201.00399v2,"{'https://ror.org/04mte1k06', 'https://ror.org/010q4q527', 'https://ror.org/0161xgx34'}",set(),"{'https://ror.org/04mte1k06', 'https://ror.org/010q4q527', 'https://ror.org/0161xgx34'}",set()
2201.00400v1,"{'https://ror.org/05s04wy35', 'https://ror.org/03ht1xw27'}",{'https://ror.org/05s04wy35'},{'https://ror.org/03ht1xw27'},set()
2201.00403v1,"{'https://ror.org/02558wk32', 'https://ror.org/01kfq1x58'}",{'https://ror.org/01kzn7k21'},"{'https://ror.org/02558wk32', 'https://ror.org/01kfq1x58'}",{'https://ror.org/01kzn7k21'}
2201.00404v1,"{'https://ror.org/030sjb889', 'https://ror.org/05r9r2f34', 'https://ror.org/03yacj906'}",set(),"{'https://ror.org/030sjb889', 'https://ror.org/05r9r2f34', 'https://ror.org/03yacj906'}",set()
2201.00405v1,"{'https://ror.org/00z54nq84', 'https://ror.org/03fd77x13', 'https://ror.org/050jcm728', 'https://ror.org/0161xgx34', 'https://ror.org/00jjx8s55', 'https://ror.org/04m1bn674', 'https://ror.org/04h1h0y33', 'https://ror.org/013cjyk83', 'https://ror.org/05f82e368', 'https://ror.org/029nkcm90', 'https://ror.org/02feahw73', 'https://ror.org/059ncap70', 'https://ror.org/04kdfz702'}",set(),"{'https://ror.org/00z54nq84', 'https://ror.org/03fd77x13', 'https://ror.org/050jcm728', 'https://ror.org/0161xgx34', 'https://ror.org/00jjx8s55', 'https://ror.org/04m1bn674', 'https://ror.org/04h1h0y33', 'https://ror.org/013cjyk83', 'https://ror.org/05f82e368', 'https://ror.org/029nkcm90', 'https://ror.org/02feahw73', 'https://ror.org/059ncap70', 'https://ror.org/04kdfz702'}",set()
2201.00406v3,{'https://ror.org/046e0mt33'},set(),{'https://ror.org/046e0mt33'},set()
2201.00407v1,"{'https://ror.org/013mz8190', 'https://ror.org/02cafbr77', 'https://ror.org/00txsqk22', 'https://ror.org/0171wr661'}",set(),"{'https://ror.org/013mz8190', 'https://ror.org/02cafbr77', 'https://ror.org/00txsqk22', 'https://ror.org/0171wr661'}",set()
2201.00408v1,"{'https://ror.org/00jmfr291', 'https://ror.org/03cve4549'}",{'https://ror.org/03cve4549'},{'https://ror.org/00jmfr291'},set()
2201.00409v2,{'https://ror.org/041kmwe10'},"{'https://ror.org/00f54p054', 'https://ror.org/041kmwe10'}",set(),{'https://ror.org/00f54p054'}
2201.00413v3,"{'https://ror.org/01k97gp34', 'https://ror.org/03x0c7470'}","{'https://ror.org/01kg8sb98', 'https://ror.org/03aydme10'}","{'https://ror.org/01k97gp34', 'https://ror.org/03x0c7470'}","{'https://ror.org/01kg8sb98', 'https://ror.org/03aydme10'}"
2201.00414v1,"{'https://ror.org/05wwcw481', 'https://ror.org/031q21x57', 'https://ror.org/05n3x4p02', 'https://ror.org/03ydkyb10'}","{'https://ror.org/031q21x57', 'https://ror.org/05wwcw481', 'https://ror.org/03prydq77', 'https://ror.org/05n3x4p02', 'https://ror.org/05k9pq902'}",{'https://ror.org/03ydkyb10'},"{'https://ror.org/05k9pq902', 'https://ror.org/03prydq77'}"
2201.00415v1,"{'https://ror.org/03zeg8w71', 'https://ror.org/010pmpe69', 'https://ror.org/05qrfxd25'}","{'https://ror.org/03zeg8w71', 'https://ror.org/010pmpe69', 'https://ror.org/02b6qw903'}",{'https://ror.org/05qrfxd25'},{'https://ror.org/02b6qw903'}
2201.00416v1,"{'https://ror.org/03xj0x983', 'https://ror.org/03k1gpj17'}",{'https://ror.org/001ajjs72'},"{'https://ror.org/03xj0x983', 'https://ror.org/03k1gpj17'}",{'https://ror.org/001ajjs72'}
2201.00418v2,{'https://ror.org/032hdk172'},"{'https://ror.org/00ngv8j44', 'https://ror.org/032hdk172'}",set(),{'https://ror.org/00ngv8j44'}
